Freq_min,Freq_max,ServiceName,Kategorie,Schwellenwert_MR_Vm,gueltig_von,gueltig_bis
738000000,753000000,Mobile 700 SDL,Mobilfunk,0.008132,2025-01-01,NA
758000000,788000000,Mobile 700 TDD,Mobilfunk,0.01141,2024-06-01,2024-12-31
758000000,788000000,Mobile 700 Down,Mobilfunk,0.01133,2025-01-01,NA
738000000,757900000,700 SDL,Mobilfunk,0.02102,2020-01-01,2023-12-31
758000000,788000000,700 MHZ down,Mobilfunk,0.02486,2020-01-01,2023-12-31
791000000,821000000,LTE 800 BS,Mobilfunk,0.02362,2015-01-01,2019-12-31
791000000,821000000,800 MHz down,Mobilfunk,0.02362,2020-01-01,2023-12-31
791000000,8210000000,Mobile 800 DL,Mobilfunk,0.01087,2024-06-01,2024-12-31
791000000,8210000000,Mobile 800 Down,Mobilfunk,0.0111,2025-01-01,NA
832000000,862000000,LTE 800 Mob.,Mobilfunk,0.02229,2015-01-01,2019-12-31
832000000,862000000,800 MHz up,Mobilfunk,0.02229,2020-01-01,2023-12-31
832000000,862000000,Mobile 800 UL,Mobilfunk,0.01087,2024-06-01,2024-12-31
832000000,862000000,Mobile 800 Up,Mobilfunk,0.0108,2025-01-01,NA
876000000,914900000,900 MHz up,Mobilfunk,0.02332,2020-01-01,2023-12-01
876000000,914900000,Mobile 900 UL,Mobilfunk,0.01201,2024-06-01,2024-12-31
876000000,914900000,Mobile 900 Up,Mobilfunk,0.01192,2025-01-01,NA
880000000,915000000,GSM 900 Mob.,Mobilfunk,0.2332,2011-01-01,2019-31-12
925000000,960000000,GSM 900 BS,Mobilfunk,0.05678,2011-01-01,2016-11-25
921000000,960000000,GSM 900 BS,Mobilfunk,0.05678,2016-11-26,2019-12-31
921000000,960000000,900 MHz down,Mobilfunk,0.05678,2020-01-01,2023-12-31
921000000,960000000,Mobile 900 DL,Mobilfunk,0.01186,2024-06-01,2024-12-31
921000000,960000000,Mobile 900 Down,Mobilfunk,0.01178,2025-01-01,NA
1427000000,1516900000,1400 SDL,Mobilfunk,0.02025,2020-01-01,2023-12-31
1442000000,1517000000,Mobile 1400 SDL ,Mobilfunk,0.01823,2024-06-01,NA
1710000000,1785000000,GSM 1800 Mob,Mobilfunk,0.01499,2011-01-01,2019-12-31
1710000000,1785000000,1800 MHz up,Mobilfunk,0.01499,2020-01-01,2023-12-31
1710000000,1785000000,Mobile 1800 UL,Mobilfunk,0.01535,2024-06-01,NA
1805000000,1880000000,GSM 1800 BS,Mobilfunk,0.01587,2011-01-01,2019-12-31
1805000000,1880000000,1800 MHz down,Mobilfunk,0.01587,2020-01-01,2023-12-31
1805000000,1880000000,Mobile 1800 DL,Mobilfunk,0.01508,2024-06-01,NA
1900000000,1919900000,1900 TDD,Mobilfunk,0.007476,2020-01-01,22023-12-31
1920000000,1980000000,UMTS Mob.,Mobilfunk,0.01296,2011-01-01,2019-12-31
1920000000,1980000000,2100 MHZ up,Mobilfunk,0.01296,2020-01-01,2023-12-31
1920000000,1980000000,Mobile 2100 UL,Mobilfunk,0.01386,2024-06-01,NA
2110000000,2170000000,UMTS BS,Mobilfunk,0.01423,2011-01-01,2019-12-31
2110000000,2170000000,2100 MHz down,Mobilfunk,0.01423,2020-01-01,2023-12-31
2110000000,2170000000,Mobile 2100 DL,Mobilfunk,0.01508,2024-06-01,NA
2400000000,2500000000,WIFI,WLAN,0.0206,2011-01-01,2019-31-12
2400000000,2485000000,ISM 2400 MHz,WLAN,0.0206,2020-01-01,2023-31-12
2400000000,2485000000,ISM 2.4 GHz,WLAN,0.01992,2024-06-01,NA
2500000000,2570000000,LTE Mob. (prov.),Mobilfunk,0.01898,2011-01-01,2014-11-30
2500000000,2570000000,LTE 2600 Mob.,Mobilfunk,0.01898,2014-12-01,2019-12-31
2500000000,2570000000,2600 MHz up,Mobilfunk,0.01898,2020-01-01,2023-12-31
2500000000,2570000000,Mobile 2600 UL,Mobilfunk,0.1867,2024-06-01,NA
2570000000,2615000000,2600 TDD,Mobilfunk,0.0153,2020-01-01,2024-05-31
2570000000,2615000000,Mobile 2600 TDD,Mobilfunk,0.0151,2024-06-01,NA
2620000000,2690000000,LTE BS (prov.),Mobilfunk,0.01845,2011-01-01,2014-11-30
2620000000,2690000000,LTE 2600 BS,Mobilfunk,0.01845,2014-12-01,2019-12-31
2620000000,2685000000,2600 MHz down,Mobilfunk,0.01845,2020-01-01,2023-12-31
2620000000,2690000000,Mobile 2600 DL,Mobilfunk,0.01907,2024-06-01,NA
3400000000,3500000000,Sat-Mobile,Mobilfunk,0.05465,2024-06-01,NA
3424000000,3445000000,LO 3400 TDD,Mobilfunk,0.02645,2020-01-01,2023-12-31
3500000000,3580000000,SA 3500 TDD,Mobilfunk,0.05263,2020-01-01,2023-12-31
3500000000,3580000000,Mobile 3600 Sa,Mobilfunk,0.04995,2024-06-01,NA
3580000000,3700000000,SC 3500 TDD,Mobilfunk,0.06573,2020-01-01,2023-12-31
3580000000,3700000000,Mobile 3600 Su,Mobilfunk,0.05755,2024-06-01,2024-12-31
3580000000,3700000000,Mobile 3600 Sw,Mobilfunk,0.06171,2025-01-01,NA
3700000000,3800000000,SR 3500 TDD,Mobilfunk,0.06112,2020-01-01,2023-12-31
3700000000,3800000000,Mobile 3600 Sw,Mobilfunk,0.05755,2024-06-01,2024-12-31
3700000000,3800000000,Mobile 3600 Su,Mobilfunk,0.05755,2025-01-01,NA
5150000000,5350000000,WLAN  5GHz 1,WLAN,0.1187,2024-06-01,NA
5420000000,5460000000,Wetter Radar CH,,0.05833,2024-06-01,2024-12-31
5350000000,5470000000,Wetter Radar CH,,0.09918,2025-01-01,NA
5470000000,5725000000,WLAN  5 GHz,WLAN,0.1633,2020-01-01,2023-12-31
5470000000,5725000000,WLAN 5GHz 2,WLAN,0.1614,2024-06-01,NA
5725000000,5875000000,ISM 5 GHz,WLAN,0.1414,2020-01-01,2023-12-31
5725000000,5875000000,ISM 5.8 GHz,WLAN,0.1454,2024-06-01,NA
